,Q,A,label
0,비틀즈 / 조지 해리슨,no_relation,0
1,민주평화당 / 대안신당,no_relation,0
2,광주FC / 한국프로축구연맹,org:member_of,20
3,아성다이소 / 박정부,org:top_members/employees,1
4,요미우리 자이언츠 / 1967,no_relation,0
5,북대서양 조약 기구 / NATO,org:alternate_names,5
6,AC 밀란 / 1989,no_relation,0
7,박용오 / 1937년 4월 29일,per:date_of_birth,25
8,중화민국 / 타이베이,org:place_of_headquarters,7
9,안규백 / 더불어민주당,per:employee_of,6
10,하비에르 파스토레 / 아르헨티나,per:origin,15
11,빌리 아일리시 / 싱어송라이터,per:title,4
12,필라델피아 필리스 / 박찬호,org:top_members/employees,1
13,뉴질랜드 / 오클랜드,org:members,2
14,미켈란젤로 / 르네상스,no_relation,0
15,노영민 / 더불어민주당,per:employee_of,6
16,이정미 / 정의당,no_relation,0
17,제2총군 / 일본 제국 육군,org:member_of,20
18,문성민 / 경기대,per:schools_attended,23
19,한국수자원공사 / 환경부,no_relation,0
20,김종필 / 박정희,per:colleagues,14
21,스티브 바라캇 / Steve Barakatt,per:alternate_names,12
22,박흥식 / 한인하,per:spouse,17
23,맨체스터 시티 FC / 프리미어리그,org:member_of,20
24,박병호 / 1루수,per:title,4
25,노소영 / 최태원,per:spouse,17
26,닛폰햄 / 오코소 요시노리,no_relation,0
27,존 C. 칼훈 / 제임스 먼로,no_relation,0
28,손병희 / 천도교,per:employee_of,6
29,유럽 축구 연맹 / UEFA,org:alternate_names,5
30,미국의 소리 / Voice of America,org:alternate_names,5
31,Facebook / 페이스북,org:alternate_names,5
32,두레당 / 유신당,no_relation,0
33,채리나 / 박용근,per:spouse,17
34,마누엘 산치스 / 레알 마드리드,per:employee_of,6
35,흑표당 / 휴이 뉴튼,org:founded_by,28
36,곡성군 / 유근기,org:top_members/employees,1
37,경성방직 / 김성수,no_relation,0
38,박애리 / 국악인,per:title,4
39,HB엔터테인먼트 / 문보미,org:top_members/employees,1
40,강경준 / 장신영,per:spouse,17
41,스탠 리 / 만화가,no_relation,0
42,세비야 / 스페인,org:member_of,20
43,대원방송 / 대원미디어,org:member_of,20
44,경찰청 / 행정안전부,no_relation,0
45,제임스 클라크 로스 / 1800년 1862년,per:date_of_birth,25
46,빌리 파이퍼 / 로즈 타일러,per:alternate_names,12
47,반민특위 / 특별조사위원회,org:members,2
48,드보르작 / 작곡가,per:title,4
49,중앙선거관리위원회 / 대한민국,org:member_of,20
50,몽골 인민 공화국 / 공화제,org:political/religious_affiliation,19
51,자유민주연합 / 한나라당,no_relation,0
52,김경언 / 외야수,per:title,4
53,공무원연금공단 / 정남준,org:top_members/employees,1
54,정현왕후 / 폐비 윤씨,no_relation,0
55,프로이센 / 로마 가톨릭,no_relation,0
56,카를 5세 / 펠리페,per:children,10
57,추혜선 / 대변인,per:title,4
58,차지연 / 뮤지컬 배우,per:title,4
59,부산대학교 / 전호환,org:top_members/employees,1
60,곡성군 / 유근기,org:top_members/employees,1
61,문재인 / 더불어민주당,no_relation,0
62,김동성 / 1980년 2월 9일,per:date_of_birth,25
63,이승만 / 이인수,no_relation,0
64,세리에 B / 세리에 A,no_relation,0
65,목포시 / 김종식,org:top_members/employees,1
66,현대기아차 / 현대모비스,no_relation,0
67,롯데 자이언츠 / 1984년,org:founded,18
68,김기표 / 경성대,per:schools_attended,23
69,윌리엄 터너 / 낭만주의,no_relation,0
70,누보톤 / 반도체,no_relation,0
71,디에고 베날리오 / 골키퍼,per:title,4
72,"독일 연방군 / 49만 5,000명",org:number_of_employees/members,9
73,민중당 / 민주당,no_relation,0
74,이던 앨런 / 그린 마운틴 보이스,per:employee_of,6
75,국제축구연맹 / 잔니 인판티노,org:top_members/employees,1
76,연갱요 / 무원대장군,per:title,4
77,문재인 / 김정숙,per:spouse,17
78,박마리아 / 이기붕,per:spouse,17
79,유곤일 / 청나라,per:origin,15
80,방송위원회 / 2008년 2월 29일,org:founded,18
81,로센보르그 BK / 2003,no_relation,0
82,LG전자 / 금성사,org:alternate_names,5
83,진도군 / 진도개,no_relation,0
84,정소동 / 영화감독,per:title,4
85,강진군 / 전라남도,org:place_of_headquarters,7
86,곽지영 / 김원중,per:spouse,17
87,미카엘 / 9월 29일,no_relation,0
88,광주과학고등학교 / 1984년,org:founded,18
89,베트남 / 1954년,no_relation,0
90,이시영 / 이승만,no_relation,0
91,백한성 / 조선 충청도 공주,per:place_of_birth,26
92,로저 테일러 / 드러머,per:title,4
93,광주교육대학교 / 최도성,org:top_members/employees,1
94,북대서양 조약 기구 / NATO,org:alternate_names,5
95,익산시 / 정헌율,org:top_members/employees,1
96,김대중 / 1987년,no_relation,0
97,영광군 / 김준성,org:top_members/employees,1
98,성화제 / 홍치제,no_relation,0
99,울산방송 / ubc,org:alternate_names,5
100,기요하라 가즈히로 / 1루수,per:title,4
101,민 리 / 캐나다,per:origin,15
102,대성여자중학교 / 1959년,org:dissolved,22
103,공무원연금공단 / 정남준,org:top_members/employees,1
